iter	Passed	Remaining
0	2	1242
1	4	1194
2	6	1130
3	8	1087
4	10	1063
5	12	1043
6	14	1027
7	16	1019
8	18	1017
9	20	1022
10	22	1014
11	24	1006
12	26	996
13	28	989
14	30	989
15	32	981
16	34	984
17	36	979
18	38	977
19	40	975
20	42	970
21	44	967
22	46	965
23	48	961
24	50	959
25	52	955
26	54	950
27	56	948
28	58	945
29	60	943
30	62	939
31	64	936
32	65	931
33	67	928
34	69	923
35	71	920
36	73	915
37	75	913
38	77	911
39	79	910
40	81	907
41	82	903
42	84	900
43	86	899
44	88	896
45	90	894
46	92	892
47	94	889
48	96	887
49	98	884
50	100	882
51	102	880
52	104	878
53	106	876
54	107	873
55	109	871
56	111	869
57	113	866
58	115	864
59	117	862
60	119	860
61	121	858
62	123	856
63	125	854
64	127	851
65	129	850
66	131	847
67	133	846
68	135	844
69	137	842
70	139	839
71	140	838
72	142	835
73	144	833
74	146	830
75	148	828
76	150	827
77	152	825
78	154	823
79	156	822
80	158	820
81	160	818
82	162	816
83	164	815
84	166	813
85	168	812
86	170	809
87	172	807
88	174	805
89	176	803
90	178	800
91	180	798
92	182	796
93	184	794
94	185	792
95	187	790
96	189	789
97	191	787
98	193	784
99	195	782
100	197	780
101	199	778
102	201	776
103	204	777
104	205	774
105	207	772
106	209	770
107	211	768
108	213	766
109	215	764
110	217	762
111	219	759
112	221	757
113	223	755
114	225	753
115	227	751
116	228	749
117	230	747
118	233	746
119	234	743
120	236	741
121	238	739
122	240	737
123	242	734
124	244	732
125	246	730
126	248	728
127	250	726
128	252	724
129	253	722
130	255	720
131	257	717
132	259	715
133	261	713
134	263	711
135	265	709
136	267	707
137	268	705
138	270	703
139	272	701
140	274	699
141	276	697
142	278	695
143	280	693
144	282	691
145	284	688
146	285	686
147	287	684
148	289	682
149	291	680
150	293	678
151	295	676
152	297	674
153	299	672
154	301	670
155	302	667
156	304	665
157	306	663
158	308	661
159	310	659
160	312	657
161	314	655
162	316	653
163	318	651
164	319	649
165	321	647
166	323	645
167	325	643
168	327	640
169	329	639
170	331	637
171	333	635
172	334	633
173	336	631
174	338	629
175	340	626
176	342	624
177	344	622
178	346	621
179	348	619
180	350	617
181	352	615
182	354	613
183	356	611
184	357	609
185	359	607
186	361	605
187	363	603
188	365	601
189	367	599
190	369	597
191	371	595
192	373	593
193	375	591
194	377	589
195	379	587
196	380	585
197	382	583
198	384	581
199	386	579
200	388	577
201	390	575
202	392	573
203	394	571
204	396	569
205	397	567
206	399	565
207	401	563
208	403	561
209	405	559
210	407	557
211	409	555
212	410	553
213	412	551
214	414	549
215	416	547
216	418	545
217	420	543
218	422	541
219	424	540
220	426	538
221	428	536
222	429	534
223	431	532
224	433	530
225	435	528
226	437	526
227	439	524
228	441	522
229	443	520
230	445	518
231	447	516
232	448	514
233	450	512
234	452	510
235	454	508
236	456	506
237	458	504
238	460	502
239	462	500
240	464	498
241	466	496
242	468	494
243	469	493
244	471	491
245	473	489
246	475	487
247	477	485
248	479	483
249	481	481
250	483	479
251	485	477
252	487	475
253	489	473
254	490	471
255	492	469
256	494	467
257	496	465
258	498	463
259	500	461
260	502	460
261	504	458
262	506	456
263	508	454
264	510	452
265	511	450
266	513	448
267	515	446
268	517	444
269	519	442
270	521	440
271	523	438
272	525	436
273	527	434
274	529	432
275	531	430
276	532	429
277	534	427
278	536	425
279	538	423
280	540	421
281	542	419
282	544	417
283	546	415
284	548	413
285	550	411
286	552	409
287	554	407
288	556	406
289	557	404
290	559	402
291	561	400
292	563	398
293	565	396
294	567	394
295	569	392
296	571	390
297	573	388
298	575	386
299	577	384
300	579	382
301	580	380
302	582	378
303	584	376
304	586	375
305	588	373
306	590	371
307	592	369
308	594	367
309	596	365
310	598	363
311	599	361
312	601	359
313	603	357
314	605	355
315	607	353
316	609	351
317	611	349
318	613	347
319	615	345
320	617	344
321	618	342
322	620	340
323	622	338
324	624	336
325	626	334
326	628	332
327	630	330
328	632	328
329	633	326
330	635	324
331	637	322
332	639	320
333	641	318
334	643	317
335	645	315
336	647	313
337	649	311
338	651	309
339	653	307
340	655	305
341	657	303
342	658	301
343	660	299
344	662	297
345	664	295
346	666	293
347	668	291
348	670	290
349	672	288
350	674	286
351	676	284
352	678	282
353	679	280
354	681	278
355	683	276
356	685	274
357	687	272
358	689	270
359	691	269
360	693	267
361	695	265
362	697	263
363	699	261
364	701	259
365	703	257
366	705	255
367	707	253
368	709	251
369	711	250
370	713	248
371	715	246
372	717	244
373	719	242
374	721	240
375	723	238
376	725	236
377	727	234
378	728	232
379	730	230
380	732	228
381	734	226
382	736	225
383	738	223
384	740	221
385	742	219
386	744	217
387	746	215
388	748	213
389	750	211
390	752	209
391	754	207
392	756	205
393	758	203
394	760	202
395	762	200
396	764	198
397	766	196
398	768	194
399	770	192
400	772	190
401	774	188
402	776	186
403	778	184
404	780	182
405	782	181
406	784	179
407	785	177
408	787	175
409	789	173
410	791	171
411	793	169
