iter	Passed	Remaining
0	3	1875
1	6	1595
2	8	1436
3	10	1353
4	13	1301
5	15	1296
6	18	1279
7	20	1260
8	22	1245
9	25	1230
10	27	1220
11	29	1214
12	32	1207
13	34	1191
14	36	1188
15	38	1170
16	40	1158
17	42	1147
18	44	1132
19	46	1125
20	49	1119
21	51	1111
22	53	1102
23	55	1095
24	57	1085
25	58	1075
26	61	1069
27	63	1064
28	65	1058
29	67	1053
30	69	1047
31	71	1044
32	73	1038
33	75	1033
34	77	1029
35	79	1024
36	81	1021
37	83	1018
38	85	1014
39	87	1009
40	89	1005
41	91	1001
42	93	997
43	95	994
44	98	990
45	99	986
46	101	981
47	103	977
48	105	974
49	107	970
50	109	967
51	112	966
52	114	962
53	116	959
54	118	955
55	120	951
56	122	949
57	124	946
58	126	942
59	128	940
60	130	936
61	132	933
62	134	929
63	135	926
64	137	922
65	139	918
66	141	915
67	143	912
68	145	910
69	147	906
70	149	903
71	151	900
72	153	897
73	155	895
74	157	891
75	159	889
76	161	886
77	163	883
78	165	880
79	167	878
80	169	875
81	171	873
82	173	870
83	175	867
84	177	865
85	178	861
86	181	859
87	182	856
88	184	853
89	186	850
90	188	847
91	190	844
92	192	841
93	194	839
94	196	836
95	198	834
96	200	832
97	202	829
98	204	827
99	206	825
100	208	822
101	210	820
102	212	817
103	214	815
104	215	812
105	217	810
106	219	807
107	221	805
108	223	802
109	225	800
110	227	797
111	229	795
112	231	792
113	233	790
114	235	787
115	237	785
116	239	783
117	241	780
118	243	778
119	245	776
120	246	773
121	249	771
122	250	769
123	252	766
124	254	764
125	256	761
126	258	759
127	260	757
128	262	755
129	264	753
130	266	750
131	268	747
132	270	745
133	271	742
134	273	740
135	275	738
136	277	735
137	279	733
138	281	731
139	283	729
140	285	727
141	287	724
142	289	722
143	291	720
144	293	718
145	295	716
146	297	713
147	298	711
148	300	708
149	302	706
150	304	703
151	306	701
152	308	699
153	310	697
154	312	695
155	314	693
156	316	691
157	318	689
158	320	686
159	322	684
160	324	682
161	326	680
162	327	678
163	329	675
164	331	673
165	333	671
166	335	669
167	337	667
168	339	665
169	341	663
170	343	660
171	345	658
172	347	656
173	349	654
174	351	651
